Dates;S&P500 COMPOSITE;S&P500 ES ENERGY;S&P500 ES HEALTH CARE;S&P500 ES REAL ESTATE;S&P500 ES INFO TECHNOLOGY;S&P500 ES FINANCIALS;S&P500 TRANSPORTATION;S&P500 PHARMACEUTICALS;S&P500 TELECOM SERV;S&P500 HOTELS REST & LEISURE IN;S&P500 FOOD RETAIL;S&P500 FOOD DISTRIBUTORS
07.12.2022;-0,186234859;-0,28952029;0,847240212;0,256356377;-0,514542766;-0,45162411;-0,798856012;0,62692531;0,458152663;-1,323241377;1,317820254;-0,083122229
06.12.2022;-1,439917576;-2,647636467;-0,744048543;-0,78802535;-2,137374329;-0,85761521;-1,157316386;-1,20855615;0,435497124;-1,094679608;0,564128585;-1,021557508
05.12.2022;-1,789424565;-2,938009313;-0,988205488;-1,717002008;-1,655497285;-2,498488817;-2,454776344;-0,511709341;-2,020771274;-1,148962688;-3,15372608;-0,234514701
02.12.2022;-0,119463176;-0,603150267;0,22310423;-0,416241583;-0,549362588;-0,429672479;-0,518727828;0,274501436;-0,392943063;0,304719242;-1,735548928;-0,8256534
01.12.2022;-0,086762367;-0,420573536;0,239701485;-0,313237328;0,070826904;-0,713775874;-0,320723684;0,568708359;-0,771862815;0,194407839;-1,585038578;-0,543588261
30.11.2022;3,094781473;0,54450929;2,448749676;2,335456476;5,03480525;1,650215135;2,169848972;1,511085585;1,617207083;2,305248545;-0,32322782;1,669753359
29.11.2022;-0,159185053;1,278948681;-0,232371643;1,706325684;-0,975216179;0,665840029;2,071139127;-0,270587887;0,243170949;0,615111875;1,064488876;-0,978080517
28.11.2022;-1,54441497;-2,737517832;-0,749547201;-2,798584246;-2,131585836;-1,77519729;-1,863171073;0,300124804;-1,610973762;-0,778230857;-0,429016067;-0,601834438
25.11.2022;-0,028307087;-0,302931179;0,622414489;0,642008035;-0,667985302;0,405394087;0,244671539;0,464718233;0,287930897;0,394664669;2,509341765;0,453422468
24.11.2022;0;0;0;0;0;0;0;0;0;0;0;0
23.11.2022;0,591470634;-1,161107128;0,344234079;0,149334218;0,87420932;0,373278631;0,243152097;0,075685904;-0,342738722;0,289812293;-0,500500501;-0,174089656
22.11.2022;1,357995311;3,180750152;0,883509525;0,462577096;1,928530416;1,026006897;0,717654951;0,686854507;1,193740926;0,636650261;-0,082871349;1,150471047
21.11.2022;-0,388365184;-1,391610292;0,045345102;0,717733473;-1,12974519;0,337475073;0,54276844;0,402698077;-0,032252862;-0,304231647;-0,287790284;0,198988394
18.11.2022;0,475857456;-0,897210568;1,199578596;1,288155769;0,129305482;0,77118615;0,852947528;0,682161428;0,616582833;0,416342807;0,165539287;1,14213198
17.11.2022;-0,30893278;0,119203043;-0,041993462;-0,82219505;0,21437672;-0,536422031;-0,801131008;1,100601539;0,809683487;-0,770603069;0,730241785;-0,249218719
16.11.2022;-0,825206114;-2,149522328;-0,128399523;-0,848662207;-1,445517738;-0,450672608;-1,354463814;0,05947193;-0,05721759;0,008048722;2,047821622;1,030124394
15.11.2022;0,871312149;1,106306509;-0,069635638;1,235821906;1,236485431;0,284817683;-0,149801671;-0,50804403;-0,85096037;0,256875799;0,667473936;-1,405745134
14.11.2022;-0,893579402;-0,522331778;0,034184727;-2,645241038;-0,965884678;-1,539856594;-0,383576615;1,674117562;-0,097158125;-0,40918558;-1,147378255;0,201366131
11.11.2022;0,924079396;3,06301638;-1,279847182;-0,1070135;1,724250967;0,786988458;2,577452946;-2,551221534;-0,531529355;1,159820878;-2,09798205;0,273180774
10.11.2022;5,543447235;2,223268543;2,590734499;7,742793792;8,327888412;5,135231317;5,316576411;1,255808241;2,147087858;3,617257258;0,103004292;1,542760083
09.11.2022;-2,077787733;-4,881667157;-1,054196426;-1,087814721;-2,651653077;-1,69669407;-1,592036466;-0,781916406;-0,815926893;-0,810472079;1,996147785;-0,551729652
08.11.2022;0,559787748;0,0532116;0,50279003;0,64897797;0,917734178;0,585885955;1,294644878;0,643868937;1,230692988;1,06113488;0,575286176;0,240459277
07.11.2022;0,961398205;1,729369364;1,058235792;-0,070587197;1,6400573;0,901844521;1,20139724;1,03465367;0,198626169;-0,542386641;0,969089885;1,179988849
04.11.2022;1,361868227;1,017383296;0,565781134;1,291446957;1,67375682;1,866285694;1,81913591;0,328405524;0,51576408;2,68337729;-1,735635866;1,230425056
03.11.2022;-1,058597916;2,042554441;-0,437106029;0,013407821;-2,997253606;-1,068093176;0,463922961;-0,316007972;-1,684795943;0,26371346;1,417643758;-0,245685154
02.11.2022;-2,500194497;-2,250642323;-1,692976731;-2,615772981;-3,471572087;-1,28397591;-2,548207008;-1,020126545;0,07366181;-2,648653578;-1,294347433;-3,162298267
01.11.2022;-0,410126085;0,994447907;0,060130347;-0,212812161;-0,864296136;0,407866504;-0,068453298;-0,430516824;0,353182752;0,225671743;-0,252980518;-2,830997447
