"Event ID";AR(-10);AR(-9);AR(-8);AR(-7);AR(-6);AR(-5);AR(-4);AR(-3);AR(-2);AR(-1);AR(0);AR(1);AR(2);AR(3);AR(4);AR(5);AR(6);AR(7);AR(8);AR(9);AR(10);t-value(-10);t-value(-9);t-value(-8);t-value(-7);t-value(-6);t-value(-5);t-value(-4);t-value(-3);t-value(-2);t-value(-1);t-value(0);t-value(1);t-value(2);t-value(3);t-value(4);t-value(5);t-value(6);t-value(7);t-value(8);t-value(9);t-value(10);p-value(-10);p-value(-9);p-value(-8);p-value(-7);p-value(-6);p-value(-5);p-value(-4);p-value(-3);p-value(-2);p-value(-1);p-value(0);p-value(1);p-value(2);p-value(3);p-value(4);p-value(5);p-value(6);p-value(7);p-value(8);p-value(9);p-value(10);"Permutation Test p-value(-10)";"Permutation Test p-value(-9)";"Permutation Test p-value(-8)";"Permutation Test p-value(-7)";"Permutation Test p-value(-6)";"Permutation Test p-value(-5)";"Permutation Test p-value(-4)";"Permutation Test p-value(-3)";"Permutation Test p-value(-2)";"Permutation Test p-value(-1)";"Permutation Test p-value(0)";"Permutation Test p-value(1)";"Permutation Test p-value(2)";"Permutation Test p-value(3)";"Permutation Test p-value(4)";"Permutation Test p-value(5)";"Permutation Test p-value(6)";"Permutation Test p-value(7)";"Permutation Test p-value(8)";"Permutation Test p-value(9)";"Permutation Test p-value(10)"
1;0.0233;-0.0213;-0.0037;0.5781;0.1463;0.1078;-0.4138;-0.5313;-0.5805;0.6023;0.4331;0.2391;0.0145;0.4852;-0.4541;0.081;0.1353;0.7541;0.3841;-0.6935;-0.0323;0.0503;-0.046;-0.008;1.2478;0.3158;0.2327;-0.8932;-1.1468;-1.253;1.3;0.9348;0.5161;0.0313;1.0473;-0.9801;0.1748;0.292;1.6277;0.8291;-1.4969;-0.0697;0.9599;0.9634;0.9936;0.2133;0.7524;0.8162;0.3726;0.2526;0.2114;0.1948;0.3508;0.6063;0.9751;0.296;0.328;0.8614;0.7705;0.1049;0.4079;0.1357;0.9445;;;;;;;;;;;;;;;;;;;;;
2;0.0147;-0.0255;0.0125;0.5691;0.1485;0.1014;-0.4115;-0.5254;-0.579;0.6068;0.445;0.248;0.0105;0.4761;-0.4395;0.0761;0.1322;0.743;0.3914;-0.6789;-0.0254;0.0317;-0.0549;0.0269;1.2255;0.3198;0.2183;-0.8861;-1.1314;-1.2468;1.3066;0.9582;0.534;0.0226;1.0252;-0.9464;0.1639;0.2847;1.5999;0.8428;-1.4619;-0.0547;0.9748;0.9563;0.9785;0.2216;0.7494;0.8273;0.3764;0.259;0.2137;0.1926;0.3389;0.5938;0.982;0.3063;0.3449;0.87;0.7761;0.1109;0.4002;0.145;0.9564;;;;;;;;;;;;;;;;;;;;;
3;0.0109;-0.0334;0.0116;0.5661;0.1591;0.1192;-0.4201;-0.525;-0.5748;0.6093;0.4564;0.2408;0.0268;0.4929;-0.4348;0.0758;0.1294;0.7564;0.3994;-0.6857;-0.0296;0.0234;-0.0717;0.0249;1.2156;0.3416;0.256;-0.9021;-1.1273;-1.2343;1.3084;0.98;0.5171;0.0575;1.0584;-0.9336;0.1628;0.2779;1.6242;0.8576;-1.4724;-0.0636;0.9813;0.9429;0.9801;0.2253;0.7329;0.7982;0.3679;0.2607;0.2183;0.192;0.328;0.6056;0.9542;0.2909;0.3514;0.8708;0.7814;0.1056;0.3919;0.1422;0.9494;;;;;;;;;;;;;;;;;;;;;
4;0.0121;-0.0236;0.0169;0.5761;0.1467;0.1189;-0.4223;-0.5327;-0.5697;0.6139;0.4442;0.2511;0.0209;0.4891;-0.4551;0.0906;0.1375;0.7604;0.3847;-0.6745;-0.0161;0.026;-0.0508;0.0364;1.24;0.3158;0.2559;-0.909;-1.1466;-1.2262;1.3214;0.9561;0.5405;0.045;1.0527;-0.9796;0.195;0.296;1.6367;0.828;-1.4518;-0.0347;0.9792;0.9595;0.971;0.2162;0.7525;0.7982;0.3643;0.2527;0.2213;0.1876;0.34;0.5894;0.9642;0.2935;0.3283;0.8455;0.7675;0.103;0.4085;0.1478;0.9724;;;;;;;;;;;;;;;;;;;;;
5;0.0142;-0.0266;0.0184;0.5774;0.1441;0.1137;-0.4169;-0.5308;-0.5749;0.6124;0.4425;0.2501;0.0151;0.4833;-0.4427;0.0874;0.1434;0.7576;0.3953;-0.6749;-0.0249;0.0305;-0.0572;0.0396;1.242;0.31;0.2446;-0.8968;-1.1418;-1.2366;1.3173;0.9518;0.538;0.0325;1.0396;-0.9522;0.188;0.3085;1.6296;0.8503;-1.4517;-0.0536;0.9757;0.9544;0.9685;0.2154;0.7569;0.807;0.3707;0.2547;0.2174;0.189;0.3421;0.5911;0.9741;0.2996;0.3419;0.851;0.758;0.1045;0.396;0.1479;0.9573;;;;;;;;;;;;;;;;;;;;;
6;0.0089;-0.0192;0.0219;0.5717;0.1471;0.1168;-0.4057;-0.5231;-0.5693;0.6096;0.4325;0.2416;0.0371;0.4912;-0.4537;0.0838;0.1519;0.7393;0.3909;-0.6797;-0.0168;0.0192;-0.0414;0.0473;1.2337;0.3174;0.2521;-0.8755;-1.1288;-1.2285;1.3155;0.9333;0.5214;0.0801;1.06;-0.9791;0.1808;0.3278;1.5954;0.8435;-1.4668;-0.0363;0.9847;0.967;0.9623;0.2185;0.7512;0.8012;0.3822;0.2601;0.2204;0.1896;0.3516;0.6026;0.9363;0.2902;0.3285;0.8566;0.7433;0.1119;0.3997;0.1437;0.9711;;;;;;;;;;;;;;;;;;;;;
7;0.0098;-0.0244;0.0071;0.5719;0.1516;0.1089;-0.408;-0.5248;-0.5816;0.6062;0.4451;0.2438;0.0138;0.4758;-0.4307;0.0686;0.1361;0.7476;0.4013;-0.6766;-0.0312;0.0211;-0.0524;0.0153;1.2288;0.3257;0.234;-0.8767;-1.1276;-1.2497;1.3025;0.9564;0.5239;0.0297;1.0223;-0.9254;0.1474;0.2924;1.6064;0.8623;-1.4538;-0.067;0.9832;0.9582;0.9878;0.2203;0.7449;0.8152;0.3815;0.2606;0.2126;0.194;0.3398;0.6009;0.9764;0.3076;0.3556;0.8829;0.7702;0.1095;0.3894;0.1473;0.9466;;;;;;;;;;;;;;;;;;;;;
8;0.0121;-0.0244;0.0126;0.554;0.1474;0.1012;-0.4161;-0.5319;-0.5755;0.6165;0.4521;0.2558;0.011;0.4911;-0.4363;0.0842;0.1102;0.7523;0.4152;-0.7034;-0.0263;0.026;-0.0524;0.0271;1.1896;0.3165;0.2173;-0.8935;-1.1422;-1.2358;1.3238;0.9708;0.5493;0.0236;1.0545;-0.9369;0.1808;0.2366;1.6154;0.8916;-1.5104;-0.0565;0.9793;0.9583;0.9784;0.2353;0.7519;0.8281;0.3725;0.2545;0.2177;0.1868;0.3326;0.5833;0.9812;0.2927;0.3497;0.8567;0.8131;0.1075;0.3735;0.1322;0.955;;;;;;;;;;;;;;;;;;;;;
9;0.0086;-0.0235;0.0194;0.5762;0.1446;0.1098;-0.4125;-0.5265;-0.5721;0.6181;0.4285;0.2475;0.0239;0.477;-0.4568;0.0834;0.1439;0.7506;0.4002;-0.6797;-0.0251;0.0185;-0.0505;0.0416;1.237;0.3104;0.2357;-0.8856;-1.1303;-1.2282;1.327;0.9199;0.5313;0.0513;1.024;-0.9807;0.179;0.3089;1.6114;0.8592;-1.4592;-0.0539;0.9853;0.9598;0.9668;0.2173;0.7565;0.8138;0.3767;0.2594;0.2205;0.1858;0.3585;0.5957;0.9591;0.3068;0.3277;0.858;0.7576;0.1084;0.3911;0.1458;0.9571;;;;;;;;;;;;;;;;;;;;;
10;0.0147;-0.0303;0.003;0.5674;0.1459;0.1054;-0.4027;-0.5487;-0.592;0.608;0.4567;0.2434;0.0172;0.4828;-0.4254;0.0727;0.1099;0.7465;0.3864;-0.6803;-0.0234;0.0317;-0.0653;0.0065;1.2221;0.3142;0.227;-0.8673;-1.1818;-1.275;1.3095;0.9836;0.5242;0.037;1.0398;-0.9162;0.1566;0.2367;1.6078;0.8322;-1.4652;-0.0504;0.9748;0.948;0.9948;0.2229;0.7536;0.8206;0.3866;0.2384;0.2035;0.1916;0.3263;0.6006;0.9705;0.2994;0.3604;0.8757;0.8131;0.1092;0.4061;0.1441;0.9598;;;;;;;;;;;;;;;;;;;;;
