"Event ID";Window;"CAR value";"BHAR value";"CAR t-value";"CAR p-value";"Permutation Test p-value"
1;"(-10, 10)";1.2537;-1.1156;0.5905;0.5554;
2;"(-10, 10)";1.2901;-1.1854;0.6062;0.5449;
3;"(-10, 10)";1.3507;-1.0884;0.6329;0.5274;
4;"(-10, 10)";1.3691;-1.0923;0.6431;0.5208;
5;"(-10, 10)";1.3632;-1.0273;0.6399;0.5229;
6;"(-10, 10)";1.3768;-1.0072;0.6483;0.5174;
7;"(-10, 10)";1.3103;-1.1573;0.6144;0.5395;
8;"(-10, 10)";1.3018;-1.1274;0.61;0.5424;
9;"(-10, 10)";1.3355;-1.0985;0.6257;0.5321;
10;"(-10, 10)";1.2572;-1.2039;0.5909;0.5551;
11;"(-10, 10)";1.2008;-1.2396;0.5627;0.5742;
