"Event ID";AR(-30);AR(-29);AR(-28);AR(-27);AR(-26);AR(-25);AR(-24);AR(-23);AR(-22);AR(-21);AR(-20);AR(-19);AR(-18);AR(-17);AR(-16);AR(-15);AR(-14);AR(-13);AR(-12);AR(-11);AR(-10);AR(-9);AR(-8);AR(-7);AR(-6);AR(-5);AR(-4);AR(-3);AR(-2);AR(-1);AR(0);AR(1);AR(2);AR(3);AR(4);AR(5);AR(6);AR(7);AR(8);AR(9);AR(10);AR(11);AR(12);AR(13);AR(14);AR(15);AR(16);AR(17);AR(18);AR(19);AR(20);AR(21);AR(22);AR(23);AR(24);AR(25);AR(26);AR(27);AR(28);AR(29);AR(30);t-value(-30);t-value(-29);t-value(-28);t-value(-27);t-value(-26);t-value(-25);t-value(-24);t-value(-23);t-value(-22);t-value(-21);t-value(-20);t-value(-19);t-value(-18);t-value(-17);t-value(-16);t-value(-15);t-value(-14);t-value(-13);t-value(-12);t-value(-11);t-value(-10);t-value(-9);t-value(-8);t-value(-7);t-value(-6);t-value(-5);t-value(-4);t-value(-3);t-value(-2);t-value(-1);t-value(0);t-value(1);t-value(2);t-value(3);t-value(4);t-value(5);t-value(6);t-value(7);t-value(8);t-value(9);t-value(10);t-value(11);t-value(12);t-value(13);t-value(14);t-value(15);t-value(16);t-value(17);t-value(18);t-value(19);t-value(20);t-value(21);t-value(22);t-value(23);t-value(24);t-value(25);t-value(26);t-value(27);t-value(28);t-value(29);t-value(30);p-value(-30);p-value(-29);p-value(-28);p-value(-27);p-value(-26);p-value(-25);p-value(-24);p-value(-23);p-value(-22);p-value(-21);p-value(-20);p-value(-19);p-value(-18);p-value(-17);p-value(-16);p-value(-15);p-value(-14);p-value(-13);p-value(-12);p-value(-11);p-value(-10);p-value(-9);p-value(-8);p-value(-7);p-value(-6);p-value(-5);p-value(-4);p-value(-3);p-value(-2);p-value(-1);p-value(0);p-value(1);p-value(2);p-value(3);p-value(4);p-value(5);p-value(6);p-value(7);p-value(8);p-value(9);p-value(10);p-value(11);p-value(12);p-value(13);p-value(14);p-value(15);p-value(16);p-value(17);p-value(18);p-value(19);p-value(20);p-value(21);p-value(22);p-value(23);p-value(24);p-value(25);p-value(26);p-value(27);p-value(28);p-value(29);p-value(30);"Permutation Test p-value(-30)";"Permutation Test p-value(-29)";"Permutation Test p-value(-28)";"Permutation Test p-value(-27)";"Permutation Test p-value(-26)";"Permutation Test p-value(-25)";"Permutation Test p-value(-24)";"Permutation Test p-value(-23)";"Permutation Test p-value(-22)";"Permutation Test p-value(-21)";"Permutation Test p-value(-20)";"Permutation Test p-value(-19)";"Permutation Test p-value(-18)";"Permutation Test p-value(-17)";"Permutation Test p-value(-16)";"Permutation Test p-value(-15)";"Permutation Test p-value(-14)";"Permutation Test p-value(-13)";"Permutation Test p-value(-12)";"Permutation Test p-value(-11)";"Permutation Test p-value(-10)";"Permutation Test p-value(-9)";"Permutation Test p-value(-8)";"Permutation Test p-value(-7)";"Permutation Test p-value(-6)";"Permutation Test p-value(-5)";"Permutation Test p-value(-4)";"Permutation Test p-value(-3)";"Permutation Test p-value(-2)";"Permutation Test p-value(-1)";"Permutation Test p-value(0)";"Permutation Test p-value(1)";"Permutation Test p-value(2)";"Permutation Test p-value(3)";"Permutation Test p-value(4)";"Permutation Test p-value(5)";"Permutation Test p-value(6)";"Permutation Test p-value(7)";"Permutation Test p-value(8)";"Permutation Test p-value(9)";"Permutation Test p-value(10)";"Permutation Test p-value(11)";"Permutation Test p-value(12)";"Permutation Test p-value(13)";"Permutation Test p-value(14)";"Permutation Test p-value(15)";"Permutation Test p-value(16)";"Permutation Test p-value(17)";"Permutation Test p-value(18)";"Permutation Test p-value(19)";"Permutation Test p-value(20)";"Permutation Test p-value(21)";"Permutation Test p-value(22)";"Permutation Test p-value(23)";"Permutation Test p-value(24)";"Permutation Test p-value(25)";"Permutation Test p-value(26)";"Permutation Test p-value(27)";"Permutation Test p-value(28)";"Permutation Test p-value(29)";"Permutation Test p-value(30)"
1;-0.0047;0.021;-0.0022;0.0018;-0.0017;0.0203;-0.0088;0.0117;-0.0001;0.0032;-0.0013;0.0091;0.0109;-0.0002;0.0058;-0.0045;-0.0025;0.007;0.0091;-0.0032;0.008;-0.0019;-0.0174;0.008;-0.0062;0.0009;0.0003;-0.0068;0.0021;-0.0063;-0.0187;-0.0087;-0.0032;-0.0128;-0.0271;0.0043;-0.0104;0.0087;-0.0322;-0.0132;0.0024;0.0382;-0.0101;-0.0075;-0.008;0.0107;0.0141;-0.0043;-0.008;-0.0082;0.0131;-0.0015;-0.012;-0.0468;-0.043;-0.0294;-0.0535;0.0127;0.0292;-0.031;0.0223;-0.3534;1.5789;-0.1654;0.1353;-0.1278;1.5263;-0.6617;0.8797;-0.0075;0.2406;-0.0977;0.6842;0.8195;-0.015;0.4361;-0.3383;-0.188;0.5263;0.6842;-0.2406;0.6015;-0.1429;-1.3083;0.6015;-0.4662;0.0677;0.0226;-0.5113;0.1579;-0.4737;-1.406;-0.6541;-0.2406;-0.9624;-2.0376;0.3233;-0.782;0.6541;-2.4211;-0.9925;0.1805;2.8722;-0.7594;-0.5639;-0.6015;0.8045;1.0602;-0.3233;-0.6015;-0.6165;0.985;-0.1128;-0.9023;-3.5188;-3.2331;-2.2105;-4.0226;0.9549;2.1955;-2.3308;1.6767;0.7241;0.1156;0.8688;0.8925;0.8984;0.1282;0.5088;0.3799;0.994;0.8101;0.9222;0.4945;0.4133;0.988;0.6632;0.7354;0.8511;0.5991;0.4945;0.8101;0.5481;0.8865;0.192;0.5481;0.6415;0.9461;0.982;0.6096;0.8747;0.6361;0.161;0.5136;0.8101;0.3368;0.0427;0.7467;0.435;0.5136;0.0162;0.3219;0.8569;0.0044;0.4483;0.5733;0.5481;0.4219;0.2901;0.7467;0.5481;0.5381;0.3256;0.9103;0.3678;0.0005;0.0014;0.028;0.0001;0.3406;0.0291;0.0206;0.0949;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;-0.0001;0.007;-0.0074;0.001;0.0005;0.0089;-0.0016;0.0057;-0.0013;0.0006;0.0018;0.0075;0.0028;-0.0015;0.0073;0.0001;-0.006;0.0024;0.002;-0.0091;0.0053;-0.003;0.0055;0.0045;-0.0002;-0.0044;0.005;0.0075;0.0058;0.0002;-0.0003;0.0007;-0.0053;-0.0195;-0.0078;0.0042;-0.0033;-0.0089;-0.0213;0.0087;0.0168;0.0193;0.0007;-0.009;0.0044;0.0057;0.0013;-0.0059;0.0005;-0.0044;0.0035;-0.0068;0.0004;-0.0326;-0.0298;-0.0015;-0.0323;-0.0145;0.0467;-0.026;0.0574;-0.0103;0.7216;-0.7629;0.1031;0.0515;0.9175;-0.1649;0.5876;-0.134;0.0619;0.1856;0.7732;0.2887;-0.1546;0.7526;0.0103;-0.6186;0.2474;0.2062;-0.9381;0.5464;-0.3093;0.567;0.4639;-0.0206;-0.4536;0.5155;0.7732;0.5979;0.0206;-0.0309;0.0722;-0.5464;-2.0103;-0.8041;0.433;-0.3402;-0.9175;-2.1959;0.8969;1.732;1.9897;0.0722;-0.9278;0.4536;0.5876;0.134;-0.6082;0.0515;-0.4536;0.3608;-0.701;0.0412;-3.3608;-3.0722;-0.1546;-3.3299;-1.4948;4.8144;-2.6804;5.9175;0.9918;0.4712;0.4463;0.918;0.9589;0.3598;0.8691;0.5573;0.8935;0.9507;0.8529;0.4401;0.7731;0.8772;0.4524;0.9918;0.5368;0.8048;0.8368;0.3491;0.5853;0.7574;0.5712;0.6431;0.9836;0.6505;0.6067;0.4401;0.5504;0.9836;0.9754;0.9425;0.5853;0.0455;0.4221;0.6654;0.734;0.3598;0.029;0.3706;0.0845;0.0477;0.9425;0.3544;0.6505;0.5573;0.8935;0.5436;0.9589;0.6505;0.7185;0.4839;0.9671;0.0009;0.0024;0.8772;0.001;0.1362;2.5688E-6;0.0078;1.0808E-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;-0.0001;0.001;0.0006;-0.0075;-0.0086;-0.0149;0.0011;0.0047;-0.0122;0.0125;0.0093;0.006;-0.0061;0.001;0.0091;0.0028;-0.0015;0.0057;-0.0136;0.0074;0.0001;-0.0127;0.0033;0.0001;0.0088;0.0115;-0.0056;0.0068;0.0077;0.0007;0.0099;-0.0086;0.0091;-0.0041;-0.0047;0.0023;-0.0069;0.0017;-0.0147;0.0006;0.0114;-0.0013;0.0034;-0.0004;0.0115;0.0116;0.0062;0.0044;0.0102;-0.0023;-0.0146;0.0108;0.0034;-0.0138;-0.0263;-0.0094;-0.0558;-0.026;0.0494;-0.0018;0.0391;-0.011;0.1099;0.0659;-0.8242;-0.9451;-1.6374;0.1209;0.5165;-1.3407;1.3736;1.022;0.6593;-0.6703;0.1099;1;0.3077;-0.1648;0.6264;-1.4945;0.8132;0.011;-1.3956;0.3626;0.011;0.967;1.2637;-0.6154;0.7473;0.8462;0.0769;1.0879;-0.9451;1;-0.4505;-0.5165;0.2527;-0.7582;0.1868;-1.6154;0.0659;1.2527;-0.1429;0.3736;-0.044;1.2637;1.2747;0.6813;0.4835;1.1209;-0.2527;-1.6044;1.1868;0.3736;-1.5165;-2.8901;-1.033;-6.1319;-2.8571;5.4286;-0.1978;4.2967;0.9912;0.9126;0.9475;0.4106;0.3456;0.1028;0.9039;0.606;0.1813;0.1708;0.3078;0.5103;0.5033;0.9126;0.3183;0.7586;0.8692;0.5316;0.1363;0.4169;0.9912;0.1641;0.7172;0.9912;0.3345;0.2075;0.5389;0.4556;0.3983;0.9387;0.2777;0.3456;0.3183;0.6527;0.606;0.8007;0.449;0.852;0.1075;0.9475;0.2115;0.8865;0.709;0.965;0.2075;0.2036;0.4963;0.6292;0.2634;0.8007;0.1099;0.2364;0.709;0.1307;0.0042;0.3026;3.4025E-9;0.0046;1.352E-7;0.8434;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;0.0026;0.0113;-0.0062;-0.0012;0.0051;0.0102;0.0051;0.0024;-0.003;-0.002;0.0041;0.0046;0.0018;-0.0009;0.0157;-0.0011;-0.0061;0.0024;0.0167;-0.0121;0.0015;-0.0025;0.0085;0.0103;-0.0033;0.0117;-0.0073;-0.0011;0.0138;0.0059;-0.0024;0.0023;0.0037;-0.0082;-0.0246;0.0173;0.0008;0.0069;-0.0295;0.0118;0.0251;0.0049;0.0076;-0.0115;0.0119;-0.0047;0.0098;-0.0043;0.0033;-0.005;0.0089;-0.0115;-0.0232;-0.0425;-0.0329;0.0027;-0.053;0.0066;0.0546;-0.0394;0.0413;0.2047;0.8898;-0.4882;-0.0945;0.4016;0.8031;0.4016;0.189;-0.2362;-0.1575;0.3228;0.3622;0.1417;-0.0709;1.2362;-0.0866;-0.4803;0.189;1.315;-0.9528;0.1181;-0.1969;0.6693;0.811;-0.2598;0.9213;-0.5748;-0.0866;1.0866;0.4646;-0.189;0.1811;0.2913;-0.6457;-1.937;1.3622;0.063;0.5433;-2.3228;0.9291;1.9764;0.3858;0.5984;-0.9055;0.937;-0.3701;0.7717;-0.3386;0.2598;-0.3937;0.7008;-0.9055;-1.8268;-3.3465;-2.5906;0.2126;-4.1732;0.5197;4.2992;-3.1024;3.252;0.838;0.3745;0.6258;0.9248;0.6883;0.4227;0.6883;0.8503;0.8135;0.875;0.7471;0.7175;0.8874;0.9436;0.2175;0.931;0.6314;0.8503;0.1897;0.3416;0.9061;0.8441;0.5039;0.4181;0.7952;0.3578;0.5659;0.931;0.2783;0.6426;0.8503;0.8564;0.771;0.5191;0.0539;0.1744;0.9498;0.5874;0.021;0.3537;0.0492;0.7;0.5501;0.3661;0.3497;0.7116;0.4411;0.7352;0.7952;0.6941;0.4841;0.3661;0.0689;0.0009;0.0101;0.8318;0;0.6037;0;0.0021;0.0013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;0.003;0.0135;-0.0038;-0.0007;-0.0031;0.0196;-0.0054;0.0007;0.0042;-0.0055;-0.0013;0;-0.0024;0.0003;0.0098;-0.0021;-0.004;0.0022;0.009;-0.0118;-0.0013;-0.0074;0.0044;0.0071;-0.0086;0.0063;-0.0031;-0.0065;0.0076;0.0036;-0.0095;0.0019;-0.0029;-0.0156;-0.0159;0.0105;-0.0023;0.0114;-0.0215;0.0052;0.0099;0.019;-0.0024;-0.0045;0.0012;0.0034;0.0003;-0.0012;-0.0001;-0.0097;0.0063;-0.0021;-0.0101;-0.0331;-0.0347;-0.0074;-0.0436;-0.0264;0.0474;-0.0381;0.032;0.283;1.2736;-0.3585;-0.066;-0.2925;1.8491;-0.5094;0.066;0.3962;-0.5189;-0.1226;0;-0.2264;0.0283;0.9245;-0.1981;-0.3774;0.2075;0.8491;-1.1132;-0.1226;-0.6981;0.4151;0.6698;-0.8113;0.5943;-0.2925;-0.6132;0.717;0.3396;-0.8962;0.1792;-0.2736;-1.4717;-1.5;0.9906;-0.217;1.0755;-2.0283;0.4906;0.934;1.7925;-0.2264;-0.4245;0.1132;0.3208;0.0283;-0.1132;-0.0094;-0.9151;0.5943;-0.1981;-0.9528;-3.1226;-3.2736;-0.6981;-4.1132;-2.4906;4.4717;-3.5943;3.0189;0.7774;0.204;0.7203;0.9474;0.7702;0.0656;0.6109;0.9474;0.6923;0.6043;0.9025;1;0.8211;0.9774;0.3561;0.8431;0.7062;0.8358;0.3967;0.2667;0.9025;0.4858;0.6784;0.5036;0.418;0.5528;0.7702;0.5403;0.4741;0.7344;0.371;0.8579;0.7846;0.1424;0.1349;0.3229;0.8284;0.2832;0.0436;0.6242;0.3512;0.0743;0.8211;0.6715;0.91;0.7487;0.9774;0.91;0.9925;0.361;0.5528;0.8431;0.3416;0.002;0.0012;0.4858;0.0001;0.0134;0;0.0004;0.0028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;-0.0032;0.0129;-0.0039;-0.0013;0.0033;0.01;0.0039;0.0042;-0.0023;-0.0089;-0.0014;0.0068;0.0023;-0.0004;0.0105;-0.0015;-0.0087;0.0026;0.0097;-0.0081;-0.0063;-0.0001;0.0083;0.0019;-0.0055;0.009;0.0079;0.0018;0.0133;0.0006;-0.019;-0.007;0.019;-0.0082;-0.0267;0.0071;0.0072;-0.0083;-0.026;0.0009;0.0186;0.0134;0.0005;-0.0077;0.0018;0.0029;0.0095;0.0003;-0.0059;-0.0029;0.0041;0.0023;-0.0134;-0.0354;-0.044;-0.0174;-0.0376;-0.0103;0.0077;-0.0267;0.0388;-0.2481;1;-0.3023;-0.1008;0.2558;0.7752;0.3023;0.3256;-0.1783;-0.6899;-0.1085;0.5271;0.1783;-0.031;0.814;-0.1163;-0.6744;0.2016;0.7519;-0.6279;-0.4884;-0.0078;0.6434;0.1473;-0.4264;0.6977;0.6124;0.1395;1.031;0.0465;-1.4729;-0.5426;1.4729;-0.6357;-2.0698;0.5504;0.5581;-0.6434;-2.0155;0.0698;1.4419;1.0388;0.0388;-0.5969;0.1395;0.2248;0.7364;0.0233;-0.4574;-0.2248;0.3178;0.1783;-1.0388;-2.7442;-3.4109;-1.3488;-2.9147;-0.7984;0.5969;-2.0698;3.0078;0.8043;0.3183;0.7627;0.9198;0.7983;0.439;0.7627;0.745;0.8586;0.4909;0.9137;0.5986;0.8586;0.9753;0.4165;0.9075;0.5007;0.8404;0.4528;0.5306;0.6257;0.9938;0.5206;0.883;0.6702;0.486;0.5408;0.8891;0.3035;0.9629;0.1421;0.5879;0.1421;0.5256;0.0395;0.5825;0.5773;0.5206;0.0449;0.9444;0.1506;0.2999;0.9691;0.5511;0.8891;0.8223;0.4622;0.9815;0.6478;0.8223;0.7509;0.8586;0.2999;0.0065;0.0008;0.1786;0.0039;0.4254;0.5511;0.0395;0.0029;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;0.002;0.0061;0.0024;0.0028;0.0013;0.0088;-0.0025;0.0016;0.0052;0.0011;0.0051;0.0103;0.0001;-0.002;0.01;0.0003;-0.0046;0.0034;0.0027;-0.0085;0.0005;-0.002;0.0002;0.0074;0.0029;0.003;0.0085;0.0081;0.0032;-0.0005;0;-0.0036;-0.0019;-0.02;0.0012;-0.0034;0.0007;-0.0044;-0.0114;0.0111;0.0112;0.0073;0.0024;-0.0072;0.0023;0.0006;-0.0079;-0.0118;-0.0013;-0.0048;-0.0031;-0.0026;0.0037;-0.0234;-0.0166;-0.0007;-0.0271;-0.0216;0.0415;-0.0239;0.0529;0.2062;0.6289;0.2474;0.2887;0.134;0.9072;-0.2577;0.1649;0.5361;0.1134;0.5258;1.0619;0.0103;-0.2062;1.0309;0.0309;-0.4742;0.3505;0.2784;-0.8763;0.0515;-0.2062;0.0206;0.7629;0.299;0.3093;0.8763;0.8351;0.3299;-0.0515;0;-0.3711;-0.1959;-2.0619;0.1237;-0.3505;0.0722;-0.4536;-1.1753;1.1443;1.1546;0.7526;0.2474;-0.7423;0.2371;0.0619;-0.8144;-1.2165;-0.134;-0.4948;-0.3196;-0.268;0.3814;-2.4124;-1.7113;-0.0722;-2.7938;-2.2268;4.2784;-2.4639;5.4536;0.8368;0.53;0.8048;0.7731;0.8935;0.3652;0.7968;0.8691;0.5924;0.9098;0.5995;0.2893;0.9918;0.8368;0.3036;0.9754;0.6358;0.7262;0.781;0.3817;0.9589;0.8368;0.9836;0.4463;0.7652;0.7574;0.3817;0.4045;0.7418;0.9589;1;0.7109;0.8449;0.0403;0.9016;0.7262;0.9425;0.6505;0.241;0.2536;0.2493;0.4524;0.8048;0.4586;0.8128;0.9507;0.4162;0.225;0.8935;0.6211;0.7496;0.7889;0.7032;0.0166;0.0883;0.9425;0.0056;0.0269;0;0.0144;1.1925E-7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;0.0017;0.0033;-0.005;0.0008;-0.001;0.0024;-0.0043;0.0049;-0.0006;-0.0015;0.0015;0.0114;-0.0066;-0.0027;0.0056;0.0026;-0.005;0.0016;-0.006;-0.0036;-0.0003;-0.0036;0.0023;-0.0135;-0.0033;-0.0053;-0.0011;-0.0032;0.0077;0.0087;0.0036;0.008;-0.006;-0.0054;-0.0071;0.0098;-0.0304;0.0034;0.0007;-0.0195;0.0121;0.0091;0.0106;0.0046;0.0001;-0.0082;-0.0044;0.0035;-0.0017;-0.004;0.0041;0.0001;-0.0011;-0.0099;-0.0179;-0.0039;-0.0364;-0.0153;0.0544;-0.027;0.0466;0.1667;0.3235;-0.4902;0.0784;-0.098;0.2353;-0.4216;0.4804;-0.0588;-0.1471;0.1471;1.1176;-0.6471;-0.2647;0.549;0.2549;-0.4902;0.1569;-0.5882;-0.3529;-0.0294;-0.3529;0.2255;-1.3235;-0.3235;-0.5196;-0.1078;-0.3137;0.7549;0.8529;0.3529;0.7843;-0.5882;-0.5294;-0.6961;0.9608;-2.9804;0.3333;0.0686;-1.9118;1.1863;0.8922;1.0392;0.451;0.0098;-0.8039;-0.4314;0.3431;-0.1667;-0.3922;0.402;0.0098;-0.1078;-0.9706;-1.7549;-0.3824;-3.5686;-1.5;5.3333;-2.6471;4.5686;0.8678;0.7466;0.6244;0.9375;0.922;0.8142;0.6737;0.6314;0.9531;0.8832;0.8832;0.2648;0.5182;0.7915;0.5835;0.799;0.6244;0.8755;0.5569;0.7244;0.9766;0.7244;0.8218;0.1869;0.7466;0.6038;0.9142;0.754;0.451;0.3945;0.7244;0.4336;0.5569;0.597;0.487;0.3376;0.0032;0.7392;0.9453;0.0571;0.2366;0.3732;0.2997;0.6524;0.9922;0.4222;0.6666;0.7318;0.8678;0.6953;0.6881;0.9922;0.9142;0.3327;0.0805;0.7025;0.0004;0.1349;2.1712E-7;0.0086;7.743E-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;-0.0006;0.0118;-0.0031;-0.0018;0.004;0.0143;0.0032;-0.0022;-0.0028;-0.0015;0.0015;0.0058;-0.0004;0.0004;0.0129;0.0002;-0.0059;0.0004;0.0146;-0.0085;-0.0031;-0.003;0.0099;0.0094;-0.0061;0.0022;0.0019;0.0037;0.0108;0.0096;-0.0192;-0.0016;0.0062;-0.021;-0.0273;0.0092;0.0055;-0.0023;-0.0147;0.0054;0.0147;-0.0017;-0.0073;-0.0138;0.0075;0.0101;0.0148;-0.0057;-0.0058;-0.0038;0.0044;-0.011;-0.0114;-0.0364;-0.0323;-0.0217;-0.0379;-0.0082;0.0239;-0.0348;0.0275;-0.0674;1.3258;-0.3483;-0.2022;0.4494;1.6067;0.3596;-0.2472;-0.3146;-0.1685;0.1685;0.6517;-0.0449;0.0449;1.4494;0.0225;-0.6629;0.0449;1.6404;-0.9551;-0.3483;-0.3371;1.1124;1.0562;-0.6854;0.2472;0.2135;0.4157;1.2135;1.0787;-2.1573;-0.1798;0.6966;-2.3596;-3.0674;1.0337;0.618;-0.2584;-1.6517;0.6067;1.6517;-0.191;-0.8202;-1.5506;0.8427;1.1348;1.6629;-0.6404;-0.6517;-0.427;0.4944;-1.236;-1.2809;-4.0899;-3.6292;-2.4382;-4.2584;-0.9213;2.6854;-3.9101;3.0899;0.9463;0.1861;0.7279;0.8399;0.6535;0.1094;0.7195;0.805;0.7533;0.8663;0.8663;0.5152;0.9642;0.9642;0.1485;0.9821;0.508;0.9642;0.1022;0.3405;0.7279;0.7363;0.2671;0.2919;0.4937;0.805;0.8311;0.678;0.2261;0.2818;0.0319;0.8575;0.4867;0.0191;0.0024;0.3023;0.5372;0.7963;0.0999;0.5446;0.0999;0.8487;0.4129;0.1223;0.4002;0.2575;0.0976;0.5225;0.5152;0.6698;0.6215;0.2176;0.2014;0.0001;0.0003;0.0155;0;0.3578;0.0077;0.0001;0.0022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;-0.0306;0.0271;0.0124;0.0009;0.0044;0.0069;-0.0041;0.002;0.0136;-0.0132;0.013;0.0083;-0.004;0.0071;0.0034;-0.0047;0.0115;-0.0028;-0.0109;0.001;0.0032;-0.0077;-0.0067;0.0008;-0.0031;0.0014;0.0146;-0.0199;-0.0064;0.0023;0.0087;-0.0017;0.0025;-0.0118;0.0051;-0.0004;-0.0313;0.0027;-0.0264;0.0041;0.0154;0.0251;-0.0012;-0.0039;0.0059;0.0105;0.0091;-0.0024;-0.0146;0.052;-0.0067;0.0077;0.0183;-0.0009;-0.0199;-0.0312;-0.0119;-0.0083;0.0536;-0.0118;0.0547;-1.6721;1.4809;0.6776;0.0492;0.2404;0.377;-0.224;0.1093;0.7432;-0.7213;0.7104;0.4536;-0.2186;0.388;0.1858;-0.2568;0.6284;-0.153;-0.5956;0.0546;0.1749;-0.4208;-0.3661;0.0437;-0.1694;0.0765;0.7978;-1.0874;-0.3497;0.1257;0.4754;-0.0929;0.1366;-0.6448;0.2787;-0.0219;-1.7104;0.1475;-1.4426;0.224;0.8415;1.3716;-0.0656;-0.2131;0.3224;0.5738;0.4973;-0.1311;-0.7978;2.8415;-0.3661;0.4208;1;-0.0492;-1.0874;-1.7049;-0.6503;-0.4536;2.929;-0.6448;2.9891;0.0958;0.1399;0.4987;0.9608;0.8102;0.7065;0.8229;0.9131;0.4581;0.4714;0.4781;0.6505;0.8272;0.6984;0.8528;0.7975;0.5303;0.8785;0.552;0.9565;0.8613;0.6743;0.7146;0.9652;0.8656;0.9391;0.4257;0.2779;0.7268;0.9001;0.6349;0.9261;0.8914;0.5196;0.7807;0.9826;0.0884;0.8828;0.1504;0.8229;0.4009;0.1714;0.9478;0.8314;0.7474;0.5666;0.6194;0.8958;0.4257;0.0049;0.7146;0.6743;0.3183;0.9608;0.2779;0.0895;0.5161;0.6505;0.0037;0.5196;0.0031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
