"Event ID";Firm;"Reference Market";"Event Date";"Analysis Report";"Estimation Window Length";"End of Estimation Window";"First Date Estimation Window";"Last Date Estimation Window";"Actual Stock Return";"Actual Market Return";Alpha;Beta;"Residual Standard Deviation";"Expected Stock Return";"First-order Autocorellation"
;"Overarching comments";;;"Analysis performed successfully";;;;;;;;;;;
1;"S&P500 ES ENERGY";"S&P 500 COMPOSITE";2020-01-21;"Analysis performed successfully";250;-11;2019-01-22;2020-01-06;-0.0188;-0.0027;-0.0007;1.1184;0.0086;-0.0037;0.0104
2;"S&P500 ES HEALTH CARE";"S&P 500 COMPOSITE";2020-01-21;"Analysis performed successfully";250;-11;2019-01-22;2020-01-06;0.0004;-0.0027;0;0.8387;0.005;-0.0022;0.0871
3;"S&P500 ES REAL ESTATE";"S&P 500 COMPOSITE";2020-01-21;"Analysis performed successfully";250;-11;2019-01-22;2020-01-06;0.0107;-0.0027;0.0004;0.3666;0.0072;-0.0006;0.0639
4;"S&P500 ES INFO TECHNOLOGY";"S&P 500 COMPOSITE";2020-01-21;"Analysis performed successfully";250;-11;2019-01-22;2020-01-06;-0.0008;-0.0027;0.0004;1.3202;0.0039;-0.0031;-0.049
5;"S&P500 ES FINANCIALS";"S&P 500 COMPOSITE";2020-01-21;"Analysis performed successfully";250;-11;2019-01-22;2020-01-06;-0.0086;-0.0027;-0.0001;1.0844;0.0048;-0.003;0.0311
6;"S&P500 TRANSPORTATION";"S&P 500 COMPOSITE";2020-01-21;"Analysis performed successfully";250;-11;2019-01-22;2020-01-06;-0.0186;-0.0027;-0.001;1.1246;0.007;-0.004;-0.0598
7;"S&P500 PHARMACEUTICALS";"S&P 500 COMPOSITE";2020-01-21;"Analysis performed successfully";250;-11;2019-01-22;2020-01-06;0.0004;-0.0027;0;0.6685;0.0063;-0.0017;0.0837
8;"S&P500 TELECOM SERV";"S&P 500 COMPOSITE";2020-01-21;"Analysis performed successfully";250;-11;2019-01-22;2020-01-06;0.0043;-0.0027;0.0003;0.5021;0.0082;-0.0011;0.0314
9;"S&P500 HOTELS REST & LEISURE IN";"S&P 500 COMPOSITE";2020-01-21;"Analysis performed successfully";250;-11;2019-01-22;2020-01-06;-0.0182;-0.0027;0.0002;0.7546;0.0051;-0.0018;0.0176
10;"S&P500 FOOD RETAIL";"S&P 500 COMPOSITE";2020-01-21;"Analysis performed successfully";250;-11;2019-01-22;2020-01-06;0.0092;-0.0027;-0.0004;0.5874;0.0173;-0.002;0.0206
11;"S&P500 FOOD DISTRIBUTORS";"S&P 500 COMPOSITE";2020-01-21;"Analysis performed successfully";250;-11;2019-01-22;2020-01-06;0.005;-0.0027;0;0.5995;0.0091;-0.0016;-0.0419
