"Event ID";AR(-10);AR(-9);AR(-8);AR(-7);AR(-6);AR(-5);AR(-4);AR(-3);AR(-2);AR(-1);AR(0);AR(1);AR(2);AR(3);AR(4);AR(5);AR(6);AR(7);AR(8);AR(9);AR(10);t-value(-10);t-value(-9);t-value(-8);t-value(-7);t-value(-6);t-value(-5);t-value(-4);t-value(-3);t-value(-2);t-value(-1);t-value(0);t-value(1);t-value(2);t-value(3);t-value(4);t-value(5);t-value(6);t-value(7);t-value(8);t-value(9);t-value(10);p-value(-10);p-value(-9);p-value(-8);p-value(-7);p-value(-6);p-value(-5);p-value(-4);p-value(-3);p-value(-2);p-value(-1);p-value(0);p-value(1);p-value(2);p-value(3);p-value(4);p-value(5);p-value(6);p-value(7);p-value(8);p-value(9);p-value(10);"Permutation Test p-value(-10)";"Permutation Test p-value(-9)";"Permutation Test p-value(-8)";"Permutation Test p-value(-7)";"Permutation Test p-value(-6)";"Permutation Test p-value(-5)";"Permutation Test p-value(-4)";"Permutation Test p-value(-3)";"Permutation Test p-value(-2)";"Permutation Test p-value(-1)";"Permutation Test p-value(0)";"Permutation Test p-value(1)";"Permutation Test p-value(2)";"Permutation Test p-value(3)";"Permutation Test p-value(4)";"Permutation Test p-value(5)";"Permutation Test p-value(6)";"Permutation Test p-value(7)";"Permutation Test p-value(8)";"Permutation Test p-value(9)";"Permutation Test p-value(10)"
1;0.0018;-0.0221;0.0009;-0.0025;-0.0062;0.0025;-0.0081;-0.0074;-0.0101;0.0007;-0.0151;-0.0085;-0.0041;-0.0009;-0.0092;-0.0064;-0.0089;0.0061;-0.0113;-0.0208;-0.014;0.2093;-2.5698;0.1047;-0.2907;-0.7209;0.2907;-0.9419;-0.8605;-1.1744;0.0814;-1.7558;-0.9884;-0.4767;-0.1047;-1.0698;-0.7442;-1.0349;0.7093;-1.314;-2.4186;-1.6279;0.8344;0.0108;0.9167;0.7715;0.4716;0.7715;0.3472;0.3904;0.2414;0.9352;0.0804;0.3239;0.634;0.9167;0.2858;0.4575;0.3017;0.4788;0.1901;0.0163;0.1048;;;;;;;;;;;;;;;;;;;;;
2;0;0.0023;-0.0009;0.0028;-0.0094;0.0068;0.0069;-0.0018;-0.0026;0;0.0027;0.001;-0.0059;-0.0092;0.0056;-0.0036;-0.002;-0.0104;-0.005;0.0032;0.0044;0;0.46;-0.18;0.56;-1.88;1.36;1.38;-0.36;-0.52;0;0.54;0.2;-1.18;-1.84;1.12;-0.72;-0.4;-2.08;-1;0.64;0.88;1;0.6459;0.8573;0.576;0.0613;0.1751;0.1688;0.7192;0.6035;1;0.5897;0.8416;0.2391;0.067;0.2638;0.4722;0.6895;0.0386;0.3183;0.5228;0.3797;;;;;;;;;;;;;;;;;;;;;
3;-0.0113;0.0021;-0.0022;0.0101;0.0095;-0.0048;0.0067;0.0045;-0.0004;-0.0004;0.0113;-0.0084;0.0089;0.0006;0.0012;-0.0011;-0.0063;0.0011;-0.0075;-0.0017;0.006;-1.5694;0.2917;-0.3056;1.4028;1.3194;-0.6667;0.9306;0.625;-0.0556;-0.0556;1.5694;-1.1667;1.2361;0.0833;0.1667;-0.1528;-0.875;0.1528;-1.0417;-0.2361;0.8333;0.1178;0.7708;0.7602;0.1619;0.1882;0.5056;0.353;0.5325;0.9557;0.9557;0.1178;0.2445;0.2176;0.9337;0.8678;0.8787;0.3824;0.8787;0.2986;0.8135;0.4055;;;;;;;;;;;;;;;;;;;;;
4;0.0022;0.0035;0.0022;0.0015;0.0039;-0.0043;-0.0021;0.0026;0.0017;-0.0004;0.0023;0.0029;0.003;0.0071;-0.0032;0.0051;0.0029;0.0043;-0.0042;0.0032;0.0058;0.5641;0.8974;0.5641;0.3846;1;-1.1026;-0.5385;0.6667;0.4359;-0.1026;0.5897;0.7436;0.7692;1.8205;-0.8205;1.3077;0.7436;1.1026;-1.0769;0.8205;1.4872;0.5732;0.3704;0.5732;0.7009;0.3183;0.2713;0.5907;0.5056;0.6633;0.9184;0.5559;0.4578;0.4425;0.0699;0.4127;0.1922;0.4578;0.2713;0.2826;0.4127;0.1382;;;;;;;;;;;;;;;;;;;;;
5;-0.0035;0.0002;0.0006;-0.0046;-0.0002;-0.0006;-0.0074;-0.0012;0.0003;0.0001;-0.0056;0.0025;-0.0034;-0.0037;0.0018;0.0005;-0.0005;0.0092;-0.0009;-0.0018;-0.0057;-0.7292;0.0417;0.125;-0.9583;-0.0417;-0.125;-1.5417;-0.25;0.0625;0.0208;-1.1667;0.5208;-0.7083;-0.7708;0.375;0.1042;-0.1042;1.9167;-0.1875;-0.375;-1.1875;0.4666;0.9668;0.9006;0.3388;0.9668;0.9006;0.1244;0.8028;0.9502;0.9834;0.2445;0.6029;0.4794;0.4415;0.708;0.9171;0.9171;0.0564;0.8514;0.708;0.2362;;;;;;;;;;;;;;;;;;;;;
6;0.0044;0.0045;-0.0045;-0.0009;0.0028;0.0109;0.0014;0.0043;-0.0024;0.001;-0.0146;-0.0059;0.0189;0.0052;-0.0079;-0.0028;0.0095;-0.01;-0.004;-0.0058;0.0028;0.6286;0.6429;-0.6429;-0.1286;0.4;1.5571;0.2;0.6143;-0.3429;0.1429;-2.0857;-0.8429;2.7;0.7429;-1.1286;-0.4;1.3571;-1.4286;-0.5714;-0.8286;0.4;0.5302;0.5209;0.5209;0.8978;0.6895;0.1207;0.8416;0.5396;0.732;0.8865;0.038;0.4001;0.0074;0.4583;0.2602;0.6895;0.176;0.1544;0.5682;0.4081;0.6895;;;;;;;;;;;;;;;;;;;;;
7;0.0002;-0.0025;0.0028;0.0051;-0.0011;0.0097;0.0076;-0.0032;-0.0029;0;0.0021;-0.0036;-0.0027;-0.0115;0.0116;-0.0098;0.0015;-0.0057;0.0015;0.0065;0.0011;0.0317;-0.3968;0.4444;0.8095;-0.1746;1.5397;1.2063;-0.5079;-0.4603;0;0.3333;-0.5714;-0.4286;-1.8254;1.8413;-1.5556;0.2381;-0.9048;0.2381;1.0317;0.1746;0.9747;0.6918;0.6571;0.419;0.8615;0.1249;0.2288;0.6119;0.6457;1;0.7392;0.5682;0.6686;0.0691;0.0668;0.1211;0.812;0.3665;0.812;0.3032;0.8615;;;;;;;;;;;;;;;;;;;;;
8;-0.0018;0.0003;-0.0166;-0.0015;-0.0083;0;-0.0036;0.0034;0.007;-0.0003;0.0053;0.0082;-0.0063;0.0003;0.001;0.0051;-0.0297;0.0024;0.0103;-0.0228;0.0048;-0.2195;0.0366;-2.0244;-0.1829;-1.0122;0;-0.439;0.4146;0.8537;-0.0366;0.6463;1;-0.7683;0.0366;0.122;0.622;-3.622;0.2927;1.2561;-2.7805;0.5854;0.8264;0.9708;0.044;0.855;0.3124;1;0.661;0.6788;0.3941;0.9708;0.5187;0.3183;0.443;0.9708;0.903;0.5345;0.0004;0.77;0.2103;0.0058;0.5588;;;;;;;;;;;;;;;;;;;;;
9;-0.0003;0.0072;0.0046;-0.0034;-0.0021;0.0036;0.0033;0.004;0.0072;-0.0002;-0.0164;-0.0012;0.0057;-0.0112;-0.0152;0.0023;0.0067;-0.0035;0.0002;0.0005;0.0035;-0.0588;1.4118;0.902;-0.6667;-0.4118;0.7059;0.6471;0.7843;1.4118;-0.0392;-3.2157;-0.2353;1.1176;-2.1961;-2.9804;0.451;1.3137;-0.6863;0.0392;0.098;0.6863;0.9531;0.1593;0.368;0.5056;0.6809;0.4809;0.5182;0.4336;0.1593;0.9687;0.0015;0.8142;0.2648;0.029;0.0032;0.6524;0.1902;0.4932;0.9687;0.922;0.4932;;;;;;;;;;;;;;;;;;;;;
10;-0.0053;-0.0084;-0.0028;-0.0007;-0.0016;0.0161;-0.0198;-0.0119;0.0006;0.0004;0.0112;-0.0012;0.0022;-0.0031;0.0146;-0.0055;-0.0302;0.0022;-0.0143;0.0006;0.0068;-0.3064;-0.4855;-0.1618;-0.0405;-0.0925;0.9306;-1.1445;-0.6879;0.0347;0.0231;0.6474;-0.0694;0.1272;-0.1792;0.8439;-0.3179;-1.7457;0.1272;-0.8266;0.0347;0.3931;0.7596;0.6277;0.8716;0.9678;0.9264;0.3529;0.2535;0.4922;0.9724;0.9816;0.518;0.9448;0.8989;0.8579;0.3995;0.7508;0.0821;0.8989;0.4093;0.9724;0.6946;;;;;;;;;;;;;;;;;;;;;
11;-0.0064;0.0087;-0.0028;0.0052;-0.0183;-0.0148;0.0019;-0.0049;-0.0004;0;0.0066;-0.0012;0.0047;-0.006;0.0059;-0.002;-0.0089;0.0097;0.0022;-0.0708;-0.0301;-0.7033;0.956;-0.3077;0.5714;-2.011;-1.6264;0.2088;-0.5385;-0.044;0;0.7253;-0.1319;0.5165;-0.6593;0.6484;-0.2198;-0.978;1.0659;0.2418;-7.7802;-3.3077;0.4825;0.34;0.7586;0.5682;0.0454;0.1051;0.8348;0.5907;0.965;1;0.469;0.8952;0.606;0.5103;0.5174;0.8262;0.329;0.2875;0.8092;1.9494E-13;0.0011;;;;;;;;;;;;;;;;;;;;;
