"Event ID";Window;"CAR value";"BHAR value";"CAR t-value";"CAR p-value";"Permutation Test p-value"
1;"(-10, 10)";-0.1436;-0.135;-3.6437;0.0003;
2;"(-10, 10)";-0.0151;-0.0153;-0.659;0.5105;
3;"(-10, 10)";0.0179;0.0178;0.5425;0.588;
4;"(-10, 10)";0.04;0.0411;2.2381;0.0261;
5;"(-10, 10)";-0.0239;-0.0241;-1.0865;0.2783;
6;"(-10, 10)";0.0069;0.0062;0.2151;0.8299;
7;"(-10, 10)";0.0067;0.0066;0.2321;0.8167;
8;"(-10, 10)";-0.0428;-0.0432;-1.139;0.2558;
9;"(-10, 10)";-0.0047;-0.0056;-0.2011;0.8408;
10;"(-10, 10)";-0.0501;-0.05;-0.6319;0.528;
11;"(-10, 10)";-0.1217;-0.1186;-2.9184;0.0038;
